id	displayName	reasonAdvertisement	reasonBilk	reasonSpam
teachingthemiddle		TRUE	FALSE	FALSE
teamcoco		TRUE	FALSE	FALSE
technoccult		TRUE	FALSE	FALSE
teenagerposts		TRUE	FALSE	FALSE
teenscoolest		TRUE	FALSE	FALSE
textless		TRUE	FALSE	FALSE
thatsthat24		TRUE	FALSE	FALSE
thcrstlshp		TRUE	FALSE	FALSE
the-feature		TRUE	FALSE	FALSE
the-idaho		TRUE	FALSE	FALSE
the-sad-boy		TRUE	FALSE	FALSE
the-shortest-alligator		TRUE	FALSE	FALSE
the-urban-journal		TRUE	FALSE	FALSE
theancientworld		TRUE	FALSE	FALSE
theangrytherapist		TRUE	FALSE	FALSE
theartofanimation		TRUE	FALSE	FALSE
thebeakerblog		TRUE	FALSE	FALSE
thecivilwarparlor		TRUE	FALSE	FALSE
thefandometrics		TRUE	FALSE	FALSE
thefrogman		TRUE	FALSE	FALSE
thefuckwithit		TRUE	FALSE	FALSE
thegoodvybe		TRUE	FALSE	FALSE
thehammermuseum		TRUE	FALSE	FALSE
thehpalliance		TRUE	FALSE	FALSE
thejewishmuseum		TRUE	FALSE	FALSE
thelearningbrain		TRUE	FALSE	FALSE
theminorthread		TRUE	FALSE	FALSE
thenextfamily		TRUE	FALSE	FALSE
thenextweb		TRUE	FALSE	FALSE
theoldiebutgoodie		TRUE	FALSE	FALSE
theomeganerd		TRUE	FALSE	FALSE
theonlymagicleftisart		TRUE	FALSE	FALSE
thepersonalnetwork		TRUE	FALSE	FALSE
thepersonalquotes		TRUE	FALSE	FALSE
therealjacksepticeye		TRUE	FALSE	FALSE
thestrutny		TRUE	FALSE	FALSE
thestyleline		TRUE	FALSE	FALSE
thetanknyc		TRUE	FALSE	FALSE
thetaoofdana		TRUE	FALSE	FALSE
thetrevorproject		TRUE	FALSE	FALSE
theyuniversity		TRUE	FALSE	FALSE
thezealotsblindfold		TRUE	FALSE	FALSE
thingsiseefrommycab		TRUE	FALSE	FALSE
thisfearlesslife		TRUE	FALSE	FALSE
thisoldhouse		TRUE	FALSE	FALSE
thispopculture		TRUE	FALSE	FALSE
thk-comic		TRUE	FALSE	FALSE
throwbackblr		TRUE	FALSE	FALSE
timbllr		TRUE	FALSE	FALSE
tinycartridge		TRUE	FALSE	FALSE
todaysdocument		TRUE	FALSE	FALSE
tombraider		TRUE	FALSE	FALSE
tommaxdesign		TRUE	FALSE	FALSE
topshelfrecords		TRUE	FALSE	FALSE
toughloverecords		TRUE	FALSE	FALSE
transformersprimewars		TRUE	FALSE	FALSE
transsolar		TRUE	FALSE	FALSE
